city,latitude,longitude
manila,14.5904492,120.9803621
quezon city,14.6510546,121.0486254
caloocan,14.651348,120.9724002
makati,14.5567949,121.0211226
marikina,14.6331084,121.0993541
parañaque,14.5008116,120.9915327
pasig,14.5605166,121.0764343
valenzuela,14.6916903,120.9694534
pasay,14.5436995,120.9946503
las piñas,14.4809012,120.9817861
mandaluyong,14.5774392,121.0338973
muntinlupa,14.3892634,121.0449101
malabon,14.6578504,120.9511261
navotas,14.6571862,120.9479692
san juan,14.6044363,121.0299469
taguig,14.5270538,121.0744942
pateros,14.5447555,121.067134
