city,sex,age_group,income,education,population
manila,male,15-19,low,low,7194.78
manila,male,15-19,low,middle,11991.3
manila,male,15-19,low,high,4796.52
manila,male,15-19,middle,low,11991.3
manila,male,15-19,middle,middle,19985.5
manila,male,15-19,middle,high,7994.2
manila,male,15-19,high,low,4796.52
manila,male,15-19,high,middle,7994.2
manila,male,15-19,high,high,3197.68
mandaluyong,male,15-19,low,low,1427.58
mandaluyong,male,15-19,low,middle,2379.3
mandaluyong,male,15-19,low,high,951.72
mandaluyong,male,15-19,middle,low,2379.3
mandaluyong,male,15-19,middle,middle,3965.5
mandaluyong,male,15-19,middle,high,1586.2
mandaluyong,male,15-19,high,low,951.72
mandaluyong,male,15-19,high,middle,1586.2
mandaluyong,male,15-19,high,high,634.48
marikina,male,15-19,low,low,1764.45
marikina,male,15-19,low,middle,2940.75
marikina,male,15-19,low,high,1176.3
marikina,male,15-19,middle,low,2940.75
marikina,male,15-19,middle,middle,4901.25
marikina,male,15-19,middle,high,1960.5
marikina,male,15-19,high,low,1176.3
marikina,male,15-19,high,middle,1960.5
marikina,male,15-19,high,high,784.2
pasig,male,15-19,low,low,2996.01
pasig,male,15-19,low,middle,4993.35
pasig,male,15-19,low,high,1997.34
pasig,male,15-19,middle,low,4993.35
pasig,male,15-19,middle,middle,8322.25
pasig,male,15-19,middle,high,3328.9
pasig,male,15-19,high,low,1997.34
pasig,male,15-19,high,middle,3328.9
pasig,male,15-19,high,high,1331.56
quezon city,male,15-19,low,low,11039.94
quezon city,male,15-19,low,middle,18399.9
quezon city,male,15-19,low,high,7359.96
quezon city,male,15-19,middle,low,18399.9
quezon city,male,15-19,middle,middle,30666.5
quezon city,male,15-19,middle,high,12266.6
quezon city,male,15-19,high,low,7359.96
quezon city,male,15-19,high,middle,12266.6
quezon city,male,15-19,high,high,4906.64
san juan,male,15-19,low,low,411.57
san juan,male,15-19,low,middle,685.95
san juan,male,15-19,low,high,274.38
san juan,male,15-19,middle,low,685.95
san juan,male,15-19,middle,middle,1143.25
san juan,male,15-19,middle,high,457.3
san juan,male,15-19,high,low,274.38
san juan,male,15-19,high,middle,457.3
san juan,male,15-19,high,high,182.92
caloocan,male,15-19,low,low,6923.25
caloocan,male,15-19,low,middle,11538.75
caloocan,male,15-19,low,high,4615.5
caloocan,male,15-19,middle,low,11538.75
caloocan,male,15-19,middle,middle,19231.25
caloocan,male,15-19,middle,high,7692.5
caloocan,male,15-19,high,low,4615.5
caloocan,male,15-19,high,middle,7692.5
caloocan,male,15-19,high,high,3077
malabon,male,15-19,low,low,1596.78
malabon,male,15-19,low,middle,2661.3
malabon,male,15-19,low,high,1064.52
malabon,male,15-19,middle,low,2661.3
malabon,male,15-19,middle,middle,4435.5
malabon,male,15-19,middle,high,1774.2
malabon,male,15-19,high,low,1064.52
malabon,male,15-19,high,middle,1774.2
malabon,male,15-19,high,high,709.68
navotas,male,15-19,low,low,1070.64
navotas,male,15-19,low,middle,1784.4
navotas,male,15-19,low,high,713.76
navotas,male,15-19,middle,low,1784.4
navotas,male,15-19,middle,middle,2974
navotas,male,15-19,middle,high,1189.6
navotas,male,15-19,high,low,713.76
navotas,male,15-19,high,middle,1189.6
navotas,male,15-19,high,high,475.84
valenzuela,male,15-19,low,low,2883.33
valenzuela,male,15-19,low,middle,4805.55
valenzuela,male,15-19,low,high,1922.22
valenzuela,male,15-19,middle,low,4805.55
valenzuela,male,15-19,middle,middle,8009.25
valenzuela,male,15-19,middle,high,3203.7
valenzuela,male,15-19,high,low,1922.22
valenzuela,male,15-19,high,middle,3203.7
valenzuela,male,15-19,high,high,1281.48
las piñas,male,15-19,low,low,2325.87
las piñas,male,15-19,low,middle,3876.45
las piñas,male,15-19,low,high,1550.58
las piñas,male,15-19,middle,low,3876.45
las piñas,male,15-19,middle,middle,6460.75
las piñas,male,15-19,middle,high,2584.3
las piñas,male,15-19,high,low,1550.58
las piñas,male,15-19,high,middle,2584.3
las piñas,male,15-19,high,high,1033.72
makati,male,15-19,low,low,1959.48
makati,male,15-19,low,middle,3265.8
makati,male,15-19,low,high,1306.32
makati,male,15-19,middle,low,3265.8
makati,male,15-19,middle,middle,5443
makati,male,15-19,middle,high,2177.2
makati,male,15-19,high,low,1306.32
makati,male,15-19,high,middle,2177.2
makati,male,15-19,high,high,870.88
muntinlupa,male,15-19,low,low,2013.57
muntinlupa,male,15-19,low,middle,3355.95
muntinlupa,male,15-19,low,high,1342.38
muntinlupa,male,15-19,middle,low,3355.95
muntinlupa,male,15-19,middle,middle,5593.25
muntinlupa,male,15-19,middle,high,2237.3
muntinlupa,male,15-19,high,low,1342.38
muntinlupa,male,15-19,high,middle,2237.3
muntinlupa,male,15-19,high,high,894.92
parañaque,male,15-19,low,low,2397.69
parañaque,male,15-19,low,middle,3996.15
parañaque,male,15-19,low,high,1598.46
parañaque,male,15-19,middle,low,3996.15
parañaque,male,15-19,middle,middle,6660.25
parañaque,male,15-19,middle,high,2664.1
parañaque,male,15-19,high,low,1598.46
parañaque,male,15-19,high,middle,2664.1
parañaque,male,15-19,high,high,1065.64
pasay,male,15-19,low,low,1542.78
pasay,male,15-19,low,middle,2571.3
pasay,male,15-19,low,high,1028.52
pasay,male,15-19,middle,low,2571.3
pasay,male,15-19,middle,middle,4285.5
pasay,male,15-19,middle,high,1714.2
pasay,male,15-19,high,low,1028.52
pasay,male,15-19,high,middle,1714.2
pasay,male,15-19,high,high,685.68
taguig,male,15-19,low,low,3388.32
taguig,male,15-19,low,middle,5647.2
taguig,male,15-19,low,high,2258.88
taguig,male,15-19,middle,low,5647.2
taguig,male,15-19,middle,middle,9412
taguig,male,15-19,middle,high,3764.8
taguig,male,15-19,high,low,2258.88
taguig,male,15-19,high,middle,3764.8
taguig,male,15-19,high,high,1505.92
pateros,male,15-19,low,low,250.02
pateros,male,15-19,low,middle,416.7
pateros,male,15-19,low,high,166.68
pateros,male,15-19,middle,low,416.7
pateros,male,15-19,middle,middle,694.5
pateros,male,15-19,middle,high,277.8
pateros,male,15-19,high,low,166.68
pateros,male,15-19,high,middle,277.8
pateros,male,15-19,high,high,111.12
manila,male,20-24,low,low,8180.37
manila,male,20-24,low,middle,13633.95
manila,male,20-24,low,high,5453.58
manila,male,20-24,middle,low,13633.95
manila,male,20-24,middle,middle,22723.25
manila,male,20-24,middle,high,9089.3
manila,male,20-24,high,low,5453.58
manila,male,20-24,high,middle,9089.3
manila,male,20-24,high,high,3635.72
mandaluyong,male,20-24,low,low,1952.64
mandaluyong,male,20-24,low,middle,3254.4
mandaluyong,male,20-24,low,high,1301.76
mandaluyong,male,20-24,middle,low,3254.4
mandaluyong,male,20-24,middle,middle,5424
mandaluyong,male,20-24,middle,high,2169.6
mandaluyong,male,20-24,high,low,1301.76
mandaluyong,male,20-24,high,middle,2169.6
mandaluyong,male,20-24,high,high,867.84
marikina,male,20-24,low,low,1861.74
marikina,male,20-24,low,middle,3102.9
marikina,male,20-24,low,high,1241.16
marikina,male,20-24,middle,low,3102.9
marikina,male,20-24,middle,middle,5171.5
marikina,male,20-24,middle,high,2068.6
marikina,male,20-24,high,low,1241.16
marikina,male,20-24,high,middle,2068.6
marikina,male,20-24,high,high,827.44
pasig,male,20-24,low,low,3234.24
pasig,male,20-24,low,middle,5390.4
pasig,male,20-24,low,high,2156.16
pasig,male,20-24,middle,low,5390.4
pasig,male,20-24,middle,middle,8984
pasig,male,20-24,middle,high,3593.6
pasig,male,20-24,high,low,2156.16
pasig,male,20-24,high,middle,3593.6
pasig,male,20-24,high,high,1437.44
quezon city,male,20-24,low,low,12442.95
quezon city,male,20-24,low,middle,20738.25
quezon city,male,20-24,low,high,8295.3
quezon city,male,20-24,middle,low,20738.25
quezon city,male,20-24,middle,middle,34563.75
quezon city,male,20-24,middle,high,13825.5
quezon city,male,20-24,high,low,8295.3
quezon city,male,20-24,high,middle,13825.5
quezon city,male,20-24,high,high,5530.2
san juan,male,20-24,low,low,515.52
san juan,male,20-24,low,middle,859.2
san juan,male,20-24,low,high,343.68
san juan,male,20-24,middle,low,859.2
san juan,male,20-24,middle,middle,1432
san juan,male,20-24,middle,high,572.8
san juan,male,20-24,high,low,343.68
san juan,male,20-24,high,middle,572.8
san juan,male,20-24,high,high,229.12
caloocan,male,20-24,low,low,7198.56
caloocan,male,20-24,low,middle,11997.6
caloocan,male,20-24,low,high,4799.04
caloocan,male,20-24,middle,low,11997.6
caloocan,male,20-24,middle,middle,19996
caloocan,male,20-24,middle,high,7998.4
caloocan,male,20-24,high,low,4799.04
caloocan,male,20-24,high,middle,7998.4
caloocan,male,20-24,high,high,3199.36
malabon,male,20-24,low,low,1692.63
malabon,male,20-24,low,middle,2821.05
malabon,male,20-24,low,high,1128.42
malabon,male,20-24,middle,low,2821.05
malabon,male,20-24,middle,middle,4701.75
malabon,male,20-24,middle,high,1880.7
malabon,male,20-24,high,low,1128.42
malabon,male,20-24,high,middle,1880.7
malabon,male,20-24,high,high,752.28
navotas,male,20-24,low,low,1083.87
navotas,male,20-24,low,middle,1806.45
navotas,male,20-24,low,high,722.58
navotas,male,20-24,middle,low,1806.45
navotas,male,20-24,middle,middle,3010.75
navotas,male,20-24,middle,high,1204.3
navotas,male,20-24,high,low,722.58
navotas,male,20-24,high,middle,1204.3
navotas,male,20-24,high,high,481.72
valenzuela,male,20-24,low,low,3236.13
valenzuela,male,20-24,low,middle,5393.55
valenzuela,male,20-24,low,high,2157.42
valenzuela,male,20-24,middle,low,5393.55
valenzuela,male,20-24,middle,middle,8989.25
valenzuela,male,20-24,middle,high,3595.7
valenzuela,male,20-24,high,low,2157.42
valenzuela,male,20-24,high,middle,3595.7
valenzuela,male,20-24,high,high,1438.28
las piñas,male,20-24,low,low,2635.02
las piñas,male,20-24,low,middle,4391.7
las piñas,male,20-24,low,high,1756.68
las piñas,male,20-24,middle,low,4391.7
las piñas,male,20-24,middle,middle,7319.5
las piñas,male,20-24,middle,high,2927.8
las piñas,male,20-24,high,low,1756.68
las piñas,male,20-24,high,middle,2927.8
las piñas,male,20-24,high,high,1171.12
makati,male,20-24,low,low,2504.7
makati,male,20-24,low,middle,4174.5
makati,male,20-24,low,high,1669.8
makati,male,20-24,middle,low,4174.5
makati,male,20-24,middle,middle,6957.5
makati,male,20-24,middle,high,2783
makati,male,20-24,high,low,1669.8
makati,male,20-24,high,middle,2783
makati,male,20-24,high,high,1113.2
muntinlupa,male,20-24,low,low,2230.83
muntinlupa,male,20-24,low,middle,3718.05
muntinlupa,male,20-24,low,high,1487.22
muntinlupa,male,20-24,middle,low,3718.05
muntinlupa,male,20-24,middle,middle,6196.75
muntinlupa,male,20-24,middle,high,2478.7
muntinlupa,male,20-24,high,low,1487.22
muntinlupa,male,20-24,high,middle,2478.7
muntinlupa,male,20-24,high,high,991.48
parañaque,male,20-24,low,low,2825.46
parañaque,male,20-24,low,middle,4709.1
parañaque,male,20-24,low,high,1883.64
parañaque,male,20-24,middle,low,4709.1
parañaque,male,20-24,middle,middle,7848.5
parañaque,male,20-24,middle,high,3139.4
parañaque,male,20-24,high,low,1883.64
parañaque,male,20-24,high,middle,3139.4
parañaque,male,20-24,high,high,1255.76
pasay,male,20-24,low,low,2259.72
pasay,male,20-24,low,middle,3766.2
pasay,male,20-24,low,high,1506.48
pasay,male,20-24,middle,low,3766.2
pasay,male,20-24,middle,middle,6277
pasay,male,20-24,middle,high,2510.8
pasay,male,20-24,high,low,1506.48
pasay,male,20-24,high,middle,2510.8
pasay,male,20-24,high,high,1004.32
taguig,male,20-24,low,low,3987.9
taguig,male,20-24,low,middle,6646.5
taguig,male,20-24,low,high,2658.6
taguig,male,20-24,middle,low,6646.5
taguig,male,20-24,middle,middle,11077.5
taguig,male,20-24,middle,high,4431
taguig,male,20-24,high,low,2658.6
taguig,male,20-24,high,middle,4431
taguig,male,20-24,high,high,1772.4
pateros,male,20-24,low,low,267.84
pateros,male,20-24,low,middle,446.4
pateros,male,20-24,low,high,178.56
pateros,male,20-24,middle,low,446.4
pateros,male,20-24,middle,middle,744
pateros,male,20-24,middle,high,297.6
pateros,male,20-24,high,low,178.56
pateros,male,20-24,high,middle,297.6
pateros,male,20-24,high,high,119.04
manila,male,25-29,low,low,8130.96
manila,male,25-29,low,middle,13551.6
manila,male,25-29,low,high,5420.64
manila,male,25-29,middle,low,13551.6
manila,male,25-29,middle,middle,22586
manila,male,25-29,middle,high,9034.4
manila,male,25-29,high,low,5420.64
manila,male,25-29,high,middle,9034.4
manila,male,25-29,high,high,3613.76
mandaluyong,male,25-29,low,low,2085.39
mandaluyong,male,25-29,low,middle,3475.65
mandaluyong,male,25-29,low,high,1390.26
mandaluyong,male,25-29,middle,low,3475.65
mandaluyong,male,25-29,middle,middle,5792.75
mandaluyong,male,25-29,middle,high,2317.1
mandaluyong,male,25-29,high,low,1390.26
mandaluyong,male,25-29,high,middle,2317.1
mandaluyong,male,25-29,high,high,926.84
marikina,male,25-29,low,low,1827.27
marikina,male,25-29,low,middle,3045.45
marikina,male,25-29,low,high,1218.18
marikina,male,25-29,middle,low,3045.45
marikina,male,25-29,middle,middle,5075.75
marikina,male,25-29,middle,high,2030.3
marikina,male,25-29,high,low,1218.18
marikina,male,25-29,high,middle,2030.3
marikina,male,25-29,high,high,812.12
pasig,male,25-29,low,low,3429.99
pasig,male,25-29,low,middle,5716.65
pasig,male,25-29,low,high,2286.66
pasig,male,25-29,middle,low,5716.65
pasig,male,25-29,middle,middle,9527.75
pasig,male,25-29,middle,high,3811.1
pasig,male,25-29,high,low,2286.66
pasig,male,25-29,high,middle,3811.1
pasig,male,25-29,high,high,1524.44
quezon city,male,25-29,low,low,12623.67
quezon city,male,25-29,low,middle,21039.45
quezon city,male,25-29,low,high,8415.78
quezon city,male,25-29,middle,low,21039.45
quezon city,male,25-29,middle,middle,35065.75
quezon city,male,25-29,middle,high,14026.3
quezon city,male,25-29,high,low,8415.78
quezon city,male,25-29,high,middle,14026.3
quezon city,male,25-29,high,high,5610.52
san juan,male,25-29,low,low,513.99
san juan,male,25-29,low,middle,856.65
san juan,male,25-29,low,high,342.66
san juan,male,25-29,middle,low,856.65
san juan,male,25-29,middle,middle,1427.75
san juan,male,25-29,middle,high,571.1
san juan,male,25-29,high,low,342.66
san juan,male,25-29,high,middle,571.1
san juan,male,25-29,high,high,228.44
caloocan,male,25-29,low,low,6992.01
caloocan,male,25-29,low,middle,11653.35
caloocan,male,25-29,low,high,4661.34
caloocan,male,25-29,middle,low,11653.35
caloocan,male,25-29,middle,middle,19422.25
caloocan,male,25-29,middle,high,7768.9
caloocan,male,25-29,high,low,4661.34
caloocan,male,25-29,high,middle,7768.9
caloocan,male,25-29,high,high,3107.56
malabon,male,25-29,low,low,1600.38
malabon,male,25-29,low,middle,2667.3
malabon,male,25-29,low,high,1066.92
malabon,male,25-29,middle,low,2667.3
malabon,male,25-29,middle,middle,4445.5
malabon,male,25-29,middle,high,1778.2
malabon,male,25-29,high,low,1066.92
malabon,male,25-29,high,middle,1778.2
malabon,male,25-29,high,high,711.28
navotas,male,25-29,low,low,996.48
navotas,male,25-29,low,middle,1660.8
navotas,male,25-29,low,high,664.32
navotas,male,25-29,middle,low,1660.8
navotas,male,25-29,middle,middle,2768
navotas,male,25-29,middle,high,1107.2
navotas,male,25-29,high,low,664.32
navotas,male,25-29,high,middle,1107.2
navotas,male,25-29,high,high,442.88
valenzuela,male,25-29,low,low,3228.75
valenzuela,male,25-29,low,middle,5381.25
valenzuela,male,25-29,low,high,2152.5
valenzuela,male,25-29,middle,low,5381.25
valenzuela,male,25-29,middle,middle,8968.75
valenzuela,male,25-29,middle,high,3587.5
valenzuela,male,25-29,high,low,2152.5
valenzuela,male,25-29,high,middle,3587.5
valenzuela,male,25-29,high,high,1435
las piñas,male,25-29,low,low,2562.66
las piñas,male,25-29,low,middle,4271.1
las piñas,male,25-29,low,high,1708.44
las piñas,male,25-29,middle,low,4271.1
las piñas,male,25-29,middle,middle,7118.5
las piñas,male,25-29,middle,high,2847.4
las piñas,male,25-29,high,low,1708.44
las piñas,male,25-29,high,middle,2847.4
las piñas,male,25-29,high,high,1138.96
makati,male,25-29,low,low,2968.11
makati,male,25-29,low,middle,4946.85
makati,male,25-29,low,high,1978.74
makati,male,25-29,middle,low,4946.85
makati,male,25-29,middle,middle,8244.75
makati,male,25-29,middle,high,3297.9
makati,male,25-29,high,low,1978.74
makati,male,25-29,high,middle,3297.9
makati,male,25-29,high,high,1319.16
muntinlupa,male,25-29,low,low,2344.41
muntinlupa,male,25-29,low,middle,3907.35
muntinlupa,male,25-29,low,high,1562.94
muntinlupa,male,25-29,middle,low,3907.35
muntinlupa,male,25-29,middle,middle,6512.25
muntinlupa,male,25-29,middle,high,2604.9
muntinlupa,male,25-29,high,low,1562.94
muntinlupa,male,25-29,high,middle,2604.9
muntinlupa,male,25-29,high,high,1041.96
parañaque,male,25-29,low,low,3007.71
parañaque,male,25-29,low,middle,5012.85
parañaque,male,25-29,low,high,2005.14
parañaque,male,25-29,middle,low,5012.85
parañaque,male,25-29,middle,middle,8354.75
parañaque,male,25-29,middle,high,3341.9
parañaque,male,25-29,high,low,2005.14
parañaque,male,25-29,high,middle,3341.9
parañaque,male,25-29,high,high,1336.76
pasay,male,25-29,low,low,2400.48
pasay,male,25-29,low,middle,4000.8
pasay,male,25-29,low,high,1600.32
pasay,male,25-29,middle,low,4000.8
pasay,male,25-29,middle,middle,6668
pasay,male,25-29,middle,high,2667.2
pasay,male,25-29,high,low,1600.32
pasay,male,25-29,high,middle,2667.2
pasay,male,25-29,high,high,1066.88
taguig,male,25-29,low,low,4194.63
taguig,male,25-29,low,middle,6991.05
taguig,male,25-29,low,high,2796.42
taguig,male,25-29,middle,low,6991.05
taguig,male,25-29,middle,middle,11651.75
taguig,male,25-29,middle,high,4660.7
taguig,male,25-29,high,low,2796.42
taguig,male,25-29,high,middle,4660.7
taguig,male,25-29,high,high,1864.28
pateros,male,25-29,low,low,269.19
pateros,male,25-29,low,middle,448.65
pateros,male,25-29,low,high,179.46
pateros,male,25-29,middle,low,448.65
pateros,male,25-29,middle,middle,747.75
pateros,male,25-29,middle,high,299.1
pateros,male,25-29,high,low,179.46
pateros,male,25-29,high,middle,299.1
pateros,male,25-29,high,high,119.64
