city,established_precincts,clustered_precincts,registered,voted
manila,7973,1859,1133042,886133
quezon city,8598,1960,1403895,1138511
caloocan,4538,1024,700279,582521
makati,3309,615,458362,375103
marikina,1813,365,260749,229267
parañaque,2038,480,346078,285438
pasig,2898,612,457370,389419
valenzuela,2603,609,443611,363995
pasay,2098,458,276579,221411
las piñas,2054,404,291074,242024
mandaluyong,1495,322,232492,184423
muntinlupa,2051,432,311750,252396
malabon,1400,355,258115,196218
navotas,948,207,150693,129907
san juan,624,152,109640,81104
taguig,2607,623,449359,371575
pateros,290,61,39273,33248
