,City,Registered Voters,Simulated Registered Voters,Actual Voters,Simulated Voters,Actual Turnout,Simulated Turnout
0,taguig,449359,322183.884,371575,248960.274,0.8269000954693241,0.7727272727272727
1,pasay,276579,483275.826,221411,417374.577,0.8005343861970721,0.8636363636363636
2,las piñas,291074,300216.801,242024,234315.552,0.8314861512879886,0.7804878048780488
3,pateros,39273,373440.411,33248,322183.884,0.8465867135181931,0.8627450980392157
4,caloocan,700279,256282.635,582521,175736.664,0.8318413089639987,0.6857142857142857
5,pasig,457370,395407.494,389419,322183.884,0.8514310077180401,0.8148148148148148
6,quezon city,1403895,300216.801,1138511,175736.664,0.8109659198159407,0.5853658536585366
7,manila,1133042,439341.66,886133,336828.60599999997,0.7820831001851652,0.7666666666666667
8,navotas,150693,512565.27,129907,424696.93799999997,0.862063931304042,0.8285714285714286
9,san juan,109640,768847.905,81104,615078.324,0.7397300255381247,0.8
10,marikina,260749,373440.411,229267,292894.44,0.8792631994753576,0.7843137254901961
11,valenzuela,443611,505242.909,363995,410052.216,0.8205274440895289,0.8115942028985508
12,malabon,258115,607755.963,196218,461308.743,0.7601960366503303,0.7590361445783133
13,makati,458362,600433.602,375103,395407.494,0.8183553610465091,0.6585365853658537
14,parañaque,346078,329506.245,285438,248960.274,0.8247793849941343,0.7555555555555555
15,mandaluyong,232492,380762.772,184423,336828.60599999997,0.7932444987354403,0.8846153846153846
16,muntinlupa,311750,373440.411,252396,270927.357,0.8096102646351243,0.7254901960784313
